dataset,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,param_max_features,param_n_estimators
secondary,Decision Tree,1.7536624908447265,0.2289945767485756,0.015616798400878906,0.0053451669741767065,,,1.0,2,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9975921466938322,0.9992591220596406,0.9985182441192814,0.9985179696183771,0.9972211930344572,0.9982217351051178,0.0007279162284943557,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
secondary,Decision Tree,1.876911735534668,0.3409220185356491,0.012829256057739259,0.0012578335309592354,,,1.0,5,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.997777366178922,0.998888683089461,0.9987034636043712,0.9983327158206743,0.9962949240459429,0.9979994305478742,0.0009329701709603391,4,0.9998610725201444,0.9999536908400481,0.9999073816800963,0.9998610789534614,0.9999536929844871,0.9999073833956474,4.141921289541338e-05,,
secondary,Decision Tree,1.9150606632232665,0.21047255542061372,0.01274700164794922,0.0014555423941178434,,,1.0,10,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9953695128727542,0.9990739025745509,0.998888683089461,0.9977769544275658,0.9964801778436458,0.9975178461615956,0.0014184311047501336,6,0.9992127442808187,0.9996758358803371,0.9998610725201444,0.9997684649224358,0.9996758508914101,0.9996387936990292,0.00022382402282007693,,
secondary,Decision Tree,1.7595060825347901,0.12555056759821834,0.013044309616088868,0.0016912858471002659,,,2.0,2,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.9962956102982033,0.9964808297832932,0.9974069272087424,0.9974064468321601,0.9962949240459429,0.9967769476336684,0.0005186254249184469,12,0.9988885801611559,0.9987959618412522,0.9990738168009632,0.9985644825191017,0.9989349386432045,0.9988515559931355,0.00016924846307356264,,
secondary,Decision Tree,2.0265511512756347,0.29111065427033866,0.012125110626220703,0.0015946945832928095,,,2.0,5,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.9961103908131136,0.9964808297832932,0.9972217077236525,0.9975917006298629,0.9966654316413487,0.9968140121182543,0.0005289961616580107,11,0.998842271001204,0.9987959618412522,0.9988885801611559,0.9986107895346145,0.9989812456587173,0.9988237696393888,0.00012286187321636815,,
secondary,Decision Tree,1.7870606422424316,0.16845834712487406,0.012317037582397461,0.0020479626565470714,,,2.0,10,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.9959251713280237,0.9972217077236525,0.9987034636043712,0.9975917006298629,0.9968506854390515,0.9972585457449924,0.0009104256369929382,10,0.9986570343613966,0.9987959618412522,0.9990738168009632,0.9986570965501274,0.9990275526742302,0.998842292445594,0.00017815132994187152,,
secondary,Decision Tree,1.8222786903381347,0.3069330908413907,0.01054840087890625,0.0004504046244534176,,,4.0,2,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.9938877569920356,0.9970364882385627,0.9979625856640119,0.9968506854390515,0.9964801778436458,0.9964435388354614,0.0013680806896443094,16,0.9979623969621191,0.9987496526813003,0.9985181068815412,0.9982866404260246,0.9987034035656402,0.998444040103325,0.00029082954283263614,,
secondary,Decision Tree,1.9521533966064453,0.24188778232445526,0.016217994689941406,0.001111278182996176,,,4.0,5,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.9938877569920356,0.9970364882385627,0.9979625856640119,0.9968506854390515,0.9964801778436458,0.9964435388354614,0.0013680806896443094,16,0.9979623969621191,0.9987496526813003,0.9985181068815412,0.9982866404260246,0.9987034035656402,0.998444040103325,0.00029082954283263614,,
secondary,Decision Tree,1.8442803859710692,0.20773600366156067,0.01295003890991211,0.0018706354449455256,,,4.0,10,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.9937025375069457,0.9972217077236525,0.9975921466938322,0.9972211930344572,0.99610967024824,0.9963694510414255,0.0014231447146659463,18,0.9977771603223118,0.9986107252014449,0.9983791794016856,0.9984255614725631,0.9986107895346145,0.9983606831865239,0.0003066347761145021,,
secondary,Decision Tree,0.8335699558258056,0.3130400296572425,0.013315868377685548,0.003442970407079732,,5,1.0,2,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.5815891831820708,0.5808483052417114,0.5786256714206335,0.605779918488329,0.5772508336420896,0.5848187823949669,0.010594269187551329,73,0.5893303695470964,0.5854867092710938,0.5758080948411596,0.589812456587173,0.5902292197267887,0.5861333699946624,0.0054325306517048165,,
